Nama Pelatihan,Objid Pelatihan,Category,Tipe,Lokasi Pelatihan,Provider,Academy Event,Location,Provider Category,Event Type,Status,Tgl Mulai,Tgl Selesai,JML Peserta,JML Confirmed,JML Peserta Hadir,JML UBPP Inst,JML UBPP Delivery,UBPP Inst,UBPP Akom,UBPP Sarana,UBPP Laborat,UBPP Penyelenggaraan,UBPP Kafetaria,UBPP Materi,Net Promotor Score,Customer Satisfaction,First Response & Average Handling,Customer Effort Score
Pre-PV Dig Amoeba HACK Idea #6 Area 3,80113723,LAT,Mentoring,Bandung,Learning Area 7 Makassar,DSP,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-10-22,2020-10-23,58,56,55,21,51,85.79,70.33,85,0,84.8,72.33,85.42,43.33,79.47,85,85.33
Pre-PV Dig Amoeba HACK Idea #6 Area 4,80113724,LAT,Mentoring,Bandung,Learning Area 7 Makassar,DSP,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-10-22,2020-10-23,26,24,23,5,23,82.29,72.35,82.94,0,84.82,73.53,84.27,41.18,80,84.12,84.35
Aturan Protokoler,80113742,LAT,E-learning,Bandung,Learning Area 7 Makassar,DSP,Online (Lokasi Masing-Masing),Internal,Public,Close Budget,2020-10-22,2020-10-22,2,2,2,1,2,68.57,0,80,0,80,0,80,0,80,80,80
Pre-PV Dig Amoeba HACK Idea #6 Area 5,80113800,LAT,Mentoring,Bandung,Learning Area 7 Makassar,DSP,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-10-22,2020-10-23,18,17,17,5,16,,0,84,0,84.4,0,85.5,40,83.33,88,84.8
Pre-PV Dig Amoeba HACK Idea #6 Area 6,80113801,LAT,Mentoring,Bandung,Learning Area 7 Makassar,DSP,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-10-22,2020-10-23,32,31,31,7,26,75.74,70.95,84.76,0,85.62,70.95,87.14,52.38,79.05,85.71,87.43
Pre-PV Dig Amoeba HACK Idea #6 Area 7,80113802,LAT,Mentoring,Bandung,Learning Area 7 Makassar,DSP,Online (Lokasi Masing-Masing),Internal,Internal,Close WO,2020-10-22,2020-10-23,46,45,45,5,41,84.71,73.33,86.11,0,85.94,73.33,87.22,52.78,80.78,86.67,87.11
"TRShoot GGN HSI:ONT,OLT,Metro,BRAS,PE SP",80113615,LAT,,Bandung,Learning Area 2 Jakarta,CONSUMER,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-10-21,2020-10-23,39,7,39,38,39,82.25,0,91.03,0,92.21,0,91.67,79.49,91.54,94.62,91.39
Leadership in Territory STO Batch 6,80113682,LAT,,Bandung,Learning Area 5 Surabaya,CONSUMER,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-10-21,2020-10-27,39,39,39,12,15,93.29,56,83.57,0,87.73,60.67,90,66.67,75.13,87.33,88.92
SMK3,80113686,LAT,,Bandung,Learning Area 7 Makassar,CONSUMER,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-10-21,2020-10-27,23,23,23,23,23,73.15,0,83.91,0,85.22,0,85.22,52.17,84.78,84.78,84.96
IT Risk Management,80113704,LAT,Virtual Classroom,Bandung,Learning Area 3 / LO,NITS,Online (Lokasi Masing-Masing),,Public,Close Budget,2020-10-21,2020-10-22,8,8,8,5,5,87.67,74,84,0,90,56,90,60,79.6,88,89.6
CAPM(Certified Associate in Project Man),80113705,LAT,Virtual Classroom,Bandung,Learning Area 3 / LO,NITS,Online (Lokasi Masing-Masing),,Public,Close Budget,2020-10-21,2020-10-23,13,13,13,10,10,90.67,88,87,0,89,85,91.75,70,88.6,88,90.2
Negotiation Skill For M&B AdMedika,80113712,LAT,Online Forum,Bandung,Learning Area 2 Jakarta,ENTERPRISE,Online (Lokasi Masing-Masing),Internal,Internal,Close WO,2020-10-21,2020-10-23,71,16,71,70,70,87.01,0,90.57,0,91.14,0,92.25,73.24,90.71,91.86,91.91
Management Resiko,80113714,LAT,,Bandung,Learning Area 4 Semarang,CONSUMER,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-10-21,2020-10-22,31,31,31,11,12,72.5,0,80,0,82.83,0,82.71,58.33,80.56,84.17,83
Mentoring Coaching Leader as Coach 1,80113716,LAT,,Bandung,Learning Area 3 Bandung,BUSINNESS ENABLER,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-10-21,2020-11-23,11,10,10,0,1,0,0,100,0,100,0,95,100,100,100,96
Assesor KPKU,80113726,LAT,,Bandung,Learning Area 3 / LO,BUSINNESS ENABLER,Online (Lokasi Masing-Masing),,Public,Close WO,2020-10-21,2020-10-23,2,2,2,1,1,65.71,0,70,0,74,0,85,0,73.33,70,84
ISO/IEC 17025:2017,80113741,LAT,E-learning,Bandung,Learning Area 7 Makassar,DSP,Online (Lokasi Masing-Masing),Internal,Public,Close Budget,2020-10-21,2020-10-22,2,2,2,1,1,74.29,0,90,0,88,0,90,100,90,90,88
Pitching Skill Batch 2,80113745,LAT,Virtual Classroom,Bandung,Learning Area 2 Jakarta,WS & INTERNATIONAL,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-10-21,2020-10-21,25,24,23,22,22,79.02,0,89.09,0,92.43,0,91.14,82.61,91.82,92.73,90.82
Workshop Finalisasi Laporan Survey Telkom 2020,90004452,NON LAT,Project,Bandung,Learning Area 3 / LO Bandung,BUSINNESS ENABLER,LA 3,Internal,Internal,On Going,2020-10-21,2020-10-23,21,16,13,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangmat Achievement Orientation Finnet,90004458,NON LAT,Pengembangan Materi,Jakarta,Learning Area 3 / LO,ENTERPRISE,LA 2,External,Internal,WO,2020-10-21,2020-10-22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mapping Competency AM ,90004448,NON LAT,Pengembangan Materi,Jakarta,Learning Area 3 / LO,ENTERPRISE,LA 2,External,Internal,WO,2020-10-20,2020-10-20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangmat digital marketing SPV TR1,90004450,NON LAT,Pengembangan Materi,Bandung,Learning Area 3 / LO Bandung,CONSUMER,Online (Lokasi Masing-Masing),Internal,Internal,WO,2020-10-20,2020-10-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangmat Learning Pathway AM DGS,90004456,NON LAT,Pengembangan Materi,Jakarta,Learning Area 3 / LO,ENTERPRISE,LA 2,External,Internal,WO,2020-10-20,2020-10-20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangmat Tata Kelola Inovasi IT Digitisasi,90004462,NON LAT,Pengembangan Materi,Bandung,Learning Area 3 / LO Bandung,NITS,Online (Lokasi Masing-Masing),Internal,Internal,WO,2020-10-20,2020-10-21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPMP V Batch 34,80112596,LAT,,Bandung,Learning Area 3 Bandung,LEADERSHIP,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-10-20,2020-10-27,30,30,30,29,30,91.98,90,90,0,90,90,90,100,90,90,90
Unlock the AKHLAK Values Batch 4,80113631,LAT,,Bandung,Learning Area 3 / LO Bandung,BUSINNESS ENABLER,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-10-20,2020-10-21,95,82,93,51,54,77.04,0,91.48,0,89.63,0,90.69,74.07,90.99,90.37,89.7
Advertising Sales for AM DES,80113687,LAT,Project,Bandung,Learning Area 2 Jakarta,ENTERPRISE,Online (Lokasi Masing-Masing),Internal,Internal,Close WO,2020-10-20,2020-10-20,403,266,361,330,343,79.22,0,86.68,0,87.08,0,86.23,60.64,87,86.94,86.16
GPMP V Batch 35,80113702,LAT,,Bandung,Learning Area 3 Bandung,LEADERSHIP,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-10-20,2020-10-27,30,30,30,23,30,90.38,90,90,0,90,90,90,100,90,90,90
New Product Development Professional,80113707,LAT,Virtual Classroom,Bandung,Learning Area 3 / LO,NITS,Online (Lokasi Masing-Masing),,Internal,Close Budget,2020-10-20,2020-10-23,2,2,2,0,2,0,90,90,0,95,90,93.75,100,92,95,93
Procurement & Purchasing Strategy,80113739,LAT,E-learning,Bandung,Learning Area 7 Makassar,DSP,Online (Lokasi Masing-Masing),Internal,Public,Close Budget,2020-10-20,2020-10-21,5,5,5,0,4,0,0,88,0,88.8,0,92.5,40,87.33,92,92.38
Tableu,80113740,LAT,,Bandung,Learning Area 1 Medan,CONSUMER,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-10-20,2020-10-21,25,25,25,24,22,77.7,0,91.36,0,90.46,0,91.36,72.73,90.76,89.54,91.27
Scrum Master Online Certification,80113744,LAT,,Bandung,Learning Area 3 / LO Bandung,BUSINNESS ENABLER,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-10-20,2020-10-26,15,12,13,10,10,70.29,0,87,0,85.1,0,82.5,50,84.48,89,82.8
Scrum Master Online Sertification,80113775,LAT,Sharing Session,Bandung,Learning Area 2 Jakarta,ENTERPRISE,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-10-20,2020-10-26,6,6,6,5,5,80,0,92,0,92,0,94,80,92,94,92.8
Creative Problem Solving & Decs Making 2,80113629,LAT,E-learning,Bandung,Learning Area 7 Makassar,DSP,Online (Lokasi Masing-Masing),Internal,Public,Close Budget,2020-10-19,2020-10-20,2,2,2,2,2,85.71,0,100,0,97,0,100,100,100,100,97
CHFI,80113637,LAT,Virtual Classroom,Bandung,Learning Area 3 / LO,NITS,Online (Lokasi Masing-Masing),,Public,Close Budget,2020-10-19,2020-10-23,5,5,5,2,2,81.67,75,85,0,85,65,86.25,100,78,90,84
TKDN Sektor Telekomunikasi,80113639,LAT,TOT,Bandung,Learning Area 3 / LO,NITS,Online (Lokasi Masing-Masing),,Public,Close Budget,2020-10-19,2020-10-20,19,19,19,9,16,86.3,81.77,87.65,0,87.06,80,87.65,70.59,85.53,85.88,86.94
Intro to Google Data Studio,80113658,LAT,E-learning,Bandung,Learning Area 7 Makassar,DSP,Online (Lokasi Masing-Masing),Internal,Public,Close Budget,2020-10-19,2020-10-21,1,1,1,1,1,68.57,0,80,0,82,0,77.5,0,80,80,80
OKD Engineering (Batch 2),80113660,LAT,E-learning,Bandung,Learning Area 7 Makassar,DSP,Online (Lokasi Masing-Masing),Internal,Public,Close Budget,2020-10-19,2020-10-22,4,4,4,3,4,76.11,70,90,0,86,70,85,100,80,80,86
Penetration Testing,80113683,LAT,TOT,Bandung,Learning Area 3 / LO,NITS,Online (Lokasi Masing-Masing),,Public,Close Budget,2020-10-19,2020-10-23,10,10,10,9,9,70.64,0,81.11,0,86.44,0,83.61,55.56,84.44,83.33,84.44
PMP (Project Management Profesional),80113706,LAT,Virtual Classroom,Bandung,Learning Area 3 / LO,NITS,Online (Lokasi Masing-Masing),,Public,Close WO,2020-10-19,2020-10-22,4,4,4,4,4,94.38,85,87.5,0,96,87.5,95,100,91,97.5,94
Marketing Planning,80113713,LAT,,Bandung,Learning Area 5 Surabaya,CONSUMER,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-10-19,2020-10-21,43,41,41,14,15,85.6,82,86,0,86.93,82.67,88,80,85.33,86,87.2
Leadership for Site Manager TA,80113733,LAT,TOT,Bandung,Learning Area 3 / LO,NITS,Online (Lokasi Masing-Masing),,Internal,Close Budget,2020-10-19,2020-11-06,52,35,48,38,40,75.49,100,100,0,100,100,90,100,100,100,92
Leadership for Site Manager TA,80113734,LAT,Virtual Classroom,Bandung,Learning Area 3 / LO Bandung,NITS,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-10-19,2020-11-06,54,46,51,40,43,,0,0,0,0,0,0,0,0,0,0
Mapping Competency AM - Digital Platform,90004440,NON LAT,Pengembangan Materi,Jakarta,Learning Area 3 / LO,ENTERPRISE,LA 2,External,Internal,WO,2020-10-19,2020-10-19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Learning Pathway AM DGS - DigiLearn,90004442,NON LAT,Pengembangan Materi,Jakarta,Learning Area 3 / LO,ENTERPRISE,LA 2,External,Internal,WO,2020-10-19,2020-10-19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Koord. ALP Pel. Leadership in Territory for STO,90004446,NON LAT,,Bandung,Learning Area 3 / LO Bandung,CONSUMER,Online (Lokasi Masing-Masing),Internal,Internal,WO,2020-10-19,2020-10-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pembahasan materi Video E-learning Tata kelola Inovasi Digital,90004454,NON LAT,Pengembangan Materi,Bandung,Learning Area 3 / LO Bandung,NITS,LA 3,Internal,Internal,WO,2020-10-19,2020-10-19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ITDRI Weekly Agendas,90004476,NON LAT,Project,,Learning Area 3 / LO,KMCS,,,Internal,WO,2020-10-19,2020-10-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Udemy: Brain Science, L&D, Agile Scrum",80113621,LAT,,Bandung,Learning Area 3 / LO,BUSINNESS ENABLER,Online (Lokasi Masing-Masing),,Public,Close WO,2020-10-17,2020-10-17,27,3,27,0,0,0,0,0,0,0,0,0,0,0,0,0
Design Systems & Pattern Libraries B-2,80113663,LAT,E-learning,Bandung,Learning Area 7 Makassar,DSP,Online (Lokasi Masing-Masing),Internal,Public,Close Budget,2020-10-16,2020-10-17,5,5,5,5,5,76.77,0,92.5,0,91.6,0,93.5,80,93.57,88,92
Sales Force TR-6 Batch-5,90004422,NON LAT,,Bandung,Learning Area 5 Surabaya,CONSUMER,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-10-16,2020-10-16,162,0,162,0,162,0,0,80.37,0,81.11,0,79.95,32.72,80.35,80.93,80.22
Bangmat AM Development CFU WIB,90004468,NON LAT,Pengembangan Materi,Bandung,Learning Area 3 / LO Bandung,WS & INTERNATIONAL,LA 3,Internal,Internal,WO,2020-10-16,2020-10-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sales Force TR-6 Batch-4,90004428,NON LAT,,Bandung,Learning Area 7 Makassar,CONSUMER,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-10-15,2020-10-15,234,0,199,0,198,0,73.35,84.3,0,84.54,73.3,84.89,41,80.04,84.55,84.94
Bangmat Legal for Legal Staff,90004430,NON LAT,Pengembangan Materi,,Learning Area 3 / LO,WS & INTERNATIONAL,,,Internal,WO,2020-10-15,2020-10-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Learning Pathway DigiLearn,90004434,NON LAT,Pengembangan Materi,Jakarta,Learning Area 3 / LO,ENTERPRISE,LA 2,External,Internal,WO,2020-10-15,2020-10-15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diskusi Learning Platform,90004436,NON LAT,Regular Meeting / Discussion,,Learning Area 3 / LO,KMCS,,,Internal,WO,2020-10-15,2020-10-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agile Transformation,90004438,NON LAT,E-learning,Bandung,Learning Area 7 Makassar,DSP,Online (Lokasi Masing-Masing),Internal,Public,On Going,2020-10-15,2020-12-15,256,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Wholesale International Business Advisor,90004444,NON LAT,Sharing Session,Bandung,Learning Area 3 / LO Bandung,WS & INTERNATIONAL,LA-3,Internal,Internal,WO,2020-10-15,2020-10-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wholesale International Business Advisor,80113510,LAT,Sharing Session,Bandung,Learning Area 3 Bandung,WS & INTERNATIONAL,Online (Lokasi Masing-Masing),Internal,Internal,Close WO,2020-10-15,2020-10-15,110,67,71,10,11,82.02,0,92.73,0,93.27,0,93.72,72.73,92.42,93.64,93.89
Public Speaking and Smart Presentation,80113634,LAT,,Bandung,Learning Area 3 / LO Bandung,CONSUMER,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-10-15,2020-10-16,22,22,22,22,22,94.24,76.36,83.64,0,93.3,75,93.41,81.82,84,94.09,93.3
User Research Methods Batch 2,80113662,LAT,E-learning,Bandung,Learning Area 7 Makassar,DSP,Online (Lokasi Masing-Masing),Internal,Public,Close Budget,2020-10-15,2020-10-16,1,1,1,1,1,78.57,0,80,0,84,0,100,100,86.67,90,90
Digital Transformation Masterclass,80113680,LAT,,Bandung,Learning Area 3 Bandung,LEADERSHIP,Online (Lokasi Masing-Masing),Internal,Internal,On Going,2020-10-15,2020-12-10,90,29,90,0,1,0,0,100,0,90,0,90,100,93.33,90,90
Digital Marketing Series,80113608,LAT,,Bandung,Learning Area 1 Medan,CONSUMER,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-10-14,2020-10-16,42,42,42,9,8,74.52,0,85,0,84.75,0,82.19,62.5,83.33,86.25,82.75
DevOps (Development and Operation),80113632,LAT,Virtual Classroom,Bandung,Learning Area 3 / LO,NITS,Online (Lokasi Masing-Masing),,Public,Close Budget,2020-10-14,2020-10-16,12,12,12,11,11,76.62,0,88.18,0,88,0,88.61,81.82,88.79,88.18,87.22
TKDN Sektor Telekomunikasi,80113633,LAT,Virtual Classroom,Bandung,Learning Area 3 / LO,NITS,Online (Lokasi Masing-Masing),,Public,Close Budget,2020-10-14,2020-10-15,20,18,19,14,15,89.76,79.33,86.67,0,90.4,75.33,90.51,73.33,84.53,90.67,90
TNT Coaching BP 3 Batch 6,80113635,LAT,,Bandung,Learning Area 3 / LO Bandung,BUSINNESS ENABLER,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-10-14,2020-10-16,25,24,24,17,18,81.8,0,93.89,0,93.11,0,94.44,83.33,94.82,93.89,92.78
Leadership in Territory STO Batch 5,80113654,LAT,,Bandung,Learning Area 4 Semarang,CONSUMER,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-10-14,2020-10-20,31,31,31,27,27,86.65,70,79.29,0,84.31,69.26,83.89,39.29,77.25,87.04,83.85
Webinar Marketing 5.0,80113690,LAT,,Bandung,Learning Area 3 / LO,BUSINNESS ENABLER,Online (Lokasi Masing-Masing),,Public,On Going,2020-10-14,2020-11-18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Living the Grand Why Batch 6,80113731,LAT,,Bandung,Learning Area 3 / LO Bandung,BUSINNESS ENABLER,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-10-14,2020-10-14,1050,734,723,121,128,77.82,0,89.92,0,90.35,0,90.79,66.15,91.05,89.61,90.4
Sales Force TR-6 Batch-4,90004420,NON LAT,,,Learning Area 7 Makassar,CONSUMER,,Internal,Internal,Canceled,2020-10-14,2020-10-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sosialisasi AKHLAK Mentor GPTP XII,90004424,NON LAT,Project,Bandung,Learning Area 3 / LO Bandung,BUSINNESS ENABLER,LA 3,Internal,Internal,WO,2020-10-13,2020-10-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Learning Pathway DGS,90004426,NON LAT,Pengembangan Materi,Jakarta,Learning Area 3 / LO,ENTERPRISE,LA 2,External,Internal,WO,2020-10-13,2020-10-13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangmat Bidding Management,90004432,NON LAT,Pengembangan Materi,,Learning Area 3 / LO,WS & INTERNATIONAL,,,Internal,WO,2020-10-13,2020-10-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OC Trusted Advisor Webinar Series 14,80113099,LAT,Sharing Session,Bandung,Learning Area 2 Jakarta,ENTERPRISE,Online (Lokasi Masing-Masing),Internal,Internal,Close WO,2020-10-13,2020-10-13,195,76,100,24,26,79.44,0,89.23,0,90.31,0,90.1,65.38,89.74,89.62,90.23
Unlock the AKHLAK Values Batch 3,80113630,LAT,,Bandung,Learning Area 3 / LO Bandung,BUSINNESS ENABLER,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-10-13,2020-10-14,93,79,81,56,58,76.22,0,90,0,88.37,0,89.1,67.24,89.25,88.45,88.48
TNT BP 4 batch 5,80113636,LAT,,Bandung,Learning Area 5 Surabaya,BUSINNESS ENABLER,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-10-13,2020-10-14,23,20,23,16,17,81.18,0,90.59,0,91.77,0,91.94,70.59,91.77,92.94,91.55
"TRShoot GGN HSI:ONT,OLT,Metro,BRAS,PE SP",80113653,LAT,,Bandung,Learning Area 5 Surabaya,CONSUMER,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-10-13,2020-10-15,1,1,1,1,1,77.43,0,100,0,98,0,95,100,100,100,94
OM OAN,80113655,LAT,,Bandung,Learning Area 1 Medan,CONSUMER,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-10-13,2020-10-15,47,47,47,45,46,78.14,0,82.89,0,89.13,0,89.84,67.39,86.42,92.61,88.95
TNT BP 5 Batch 4,80113729,LAT,,Bandung,Learning Area 1 Medan,BUSINNESS ENABLER,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-10-13,2020-10-27,19,18,19,14,15,83.13,0,94,0,94.53,0,94.33,80,94.89,97.33,93.47
Living the Grand Why Batch 5,80113730,LAT,,Bandung,Learning Area 3 / LO Bandung,BUSINNESS ENABLER,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-10-13,2020-10-13,1576,1209,778,98,104,78.01,0,90.57,0,89.76,0,90.57,72.22,90.41,88.79,90.13
Coaching Manager Lini Account Manager,80113523,LAT,,Bandung,Learning Area 3 Bandung,BUSINNESS ENABLER,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-10-12,2020-10-16,25,20,20,11,12,79.51,0,85.83,0,90.17,0,90.21,83.33,88.33,90.83,89.67
Cloud Computing(for Cloud based Headend),80113547,LAT,,Bandung,Learning Area 4 Semarang,CONSUMER,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-10-12,2020-10-14,15,15,15,10,10,63.68,0,78,0,74.4,0,73.25,0,76.33,76,72.4
Leadership in Territory STO Batch 4,80113574,LAT,,Bandung,Learning Area 2 Jakarta,CONSUMER,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-10-12,2020-10-16,28,28,28,21,21,89.26,65.24,79.05,0,87.81,65.24,87.5,61.9,76.29,90.48,87.62
Internet of Things,80113656,LAT,,Bandung,Learning Area 2 Jakarta,CONSUMER,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-10-12,2020-10-16,65,64,63,50,50,,0,81.2,0,83.08,0,82.78,38,81.55,84.9,82.82
Intro to Power BI,80113657,LAT,E-learning,Bandung,Learning Area 7 Makassar,DSP,Online (Lokasi Masing-Masing),Internal,Public,Close Budget,2020-10-12,2020-10-14,1,1,1,1,1,65.71,0,70,0,80,0,77.5,0,76.67,80,78
OKD Engineering (Batch 1),80113659,LAT,E-learning,Bandung,Learning Area 7 Makassar,DSP,Online (Lokasi Masing-Masing),Internal,Public,Close Budget,2020-10-12,2020-10-15,4,4,4,4,4,58.57,0,75,0,70.5,0,74.38,-25,70,80,74.5
COBIT 2019,80113664,LAT,Virtual Classroom,Bandung,Learning Area 3 / LO,NITS,Online (Lokasi Masing-Masing),,Public,Close Budget,2020-10-12,2020-10-13,5,5,5,2,2,82.86,0,100,0,100,0,100,100,100,100,100
CHRPE 4.0,80113727,LAT,,Bandung,Learning Area 3 / LO,BUSINNESS ENABLER,Online (Lokasi Masing-Masing),,Public,On Going,2020-10-12,2020-11-12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Audit Report Writing,80113728,LAT,,Bandung,Learning Area 3 / LO,BUSINNESS ENABLER,Online (Lokasi Masing-Masing),,Public,Close WO,2020-10-12,2020-10-13,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangmat Culture Development PT TA,90004418,NON LAT,Pengembangan Materi,Bandung,Learning Area 3 / LO Bandung,NITS,Online (Lokasi Masing-Masing),Internal,Internal,WO,2020-10-12,2020-10-12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FGD OHI 2,90004396,NON LAT,Project,Bandung,Learning Area 3 / LO Bandung,BUSINNESS ENABLER,LA-3,Internal,Internal,On Going,2020-10-09,2020-10-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sales Force TR-6 Batch-4,90004404,NON LAT,Project,Bandung,Learning Area 7 Makassar,CONSUMER,Online (Lokasi Masing-Masing),Internal,Internal,Canceled,2020-10-09,2020-10-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sales Force TR-6 Batch-4,90004410,NON LAT,,Bandung,Learning Area 7 Makassar,CONSUMER,Online (Lokasi Masing-Masing),Internal,Internal,Canceled,2020-10-09,2020-10-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sales Force TR-6 Batch-3,90004414,NON LAT,,Bandung,Learning Area 5 Surabaya,CONSUMER,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-10-09,2020-10-09,182,0,180,0,180,0,0,89.61,0,90.31,0,91.08,67.22,90.54,89.22,90.99
Basic Project Management for SDA Batch-2,80112594,LAT,Built in Training,Bandung,Learning Area 2 Jakarta,ENTERPRISE,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-10-08,2020-10-08,40,17,40,38,38,,0,80.26,0,83.8,0,81.99,46.15,81.88,84.1,82.31
Living the Grand Why Batch 4,80113651,LAT,,Bandung,Learning Area 3 / LO Bandung,BUSINNESS ENABLER,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-10-08,2020-10-08,1046,693,708,35,131,77.28,0,91.22,0,91.65,0,92.31,74.81,91.86,91.15,92.02
Pelatihan dan Sertifikasi BNSP CMT,80113725,LAT,,Bandung,Learning Area 3 / LO,BUSINNESS ENABLER,Online (Lokasi Masing-Masing),,Public,Close WO,2020-10-08,2020-10-17,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Leadership in Territory STO Batch 3,80113538,LAT,,Bandung,Learning Area 2 Jakarta,CONSUMER,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-10-07,2020-10-13,28,28,28,21,28,90.57,69.29,83.21,0,89.21,65.36,88.84,64.29,79,90.36,88.79
KPKU BUMN,80113546,LAT,Virtual Classroom,Bandung,Learning Area 3 / LO,NITS,Online (Lokasi Masing-Masing),,Public,Close Budget,2020-10-07,2020-10-09,1,1,1,1,1,62.86,0,80,0,78,0,77.5,0,80,70,78
Improvement Business Model Partnership,80113549,LAT,,Bandung,Learning Area 2 Jakarta,CONSUMER,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-10-07,2020-10-08,48,48,48,42,44,76.03,0,89.32,0,90.05,0,90.57,65.91,90,91.59,90.09
Assesor KPKU,80113673,LAT,,Bandung,Learning Area 3 / LO,BUSINNESS ENABLER,Online (Lokasi Masing-Masing),,Public,Close WO,2020-10-07,2020-10-09,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FGD OHI,90004394,NON LAT,Project,Bandung,Learning Area 3 / LO Bandung,BUSINNESS ENABLER,LA 3,Internal,Internal,On Going,2020-10-07,2020-10-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sales Force TR-6 Batch-3,90004402,NON LAT,Project,Bandung,Learning Area 5 Surabaya,CONSUMER,Online (Lokasi Masing-Masing),Internal,Internal,Canceled,2020-10-07,2020-10-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
